commentor,comments,news
>Bart Son,>Red Sparrow is real,">An alleged Kremlin agent offered sex for a job with an American special interest organisation she targeted, say US officials."
>Rhonda Frazier Rutterbush,">This offer came right after the national prayer breakfast, I suppose.",">An alleged Kremlin agent offered sex for a job with an American special interest organisation she targeted, say US officials."
>Thana Wongkittiroch,>Just what the US needs...more guns. ,">The makers said:  ""The age of the downloadable gun formally begins."""
>Brad Gibson,>Hey if you trust firing a completely plastic gun cut out by a 3d printer that some random guy on the internet drew plans for.. by all means go for it lol,">The makers said:  ""The age of the downloadable gun formally begins."""
>Derek Wagle,>My family breaks the law and now I’m moaning ,">'My parents brought me here illegally, and now I can't leave the city or I risk deportation.'"
>Jack Marshall,>At least you’re not trapped in an English city. Two days in Hull and you’ll be begging to be deported. ,">'My parents brought me here illegally, and now I can't leave the city or I risk deportation.'"
>Sophie Brooke,>I read dock as dick. Don't know why ,">First it had problems floating, now this. "
>Paul Willmott,>Gibraltar would appear safe for the time being then ....,">First it had problems floating, now this. "
>Arena C Morrin,">The older generations really have a hard time with “no”. Whatever happened to gentlemanly behavior, oh thats right it was always a myth.",">Grandad Ronald James shouted at cabin crew, poked them and demanded to see the captain."
>Mark Strouthes,">From his behavior, I would have thought he was American.",">Grandad Ronald James shouted at cabin crew, poked them and demanded to see the captain."
>Oko Solo,>How's this news to us not living in the UK.......The BBC is gradually loosing it's credibility as worldnews,>Oops. 
>Lisa Steffi,>So the British Broadcasting Corporation should report on everything EXCEPT the UK? ,>Oops. 
>Joe Pollhein,>When I read that title all I could think was some Mr. Bean-like shennanighans must have been involved. Bahaha,>Oops. 
>BBC News,">Senior BBC managers have to ""carry the can"", Sir Cliff Richard said, after winning his privacy case over the coverage of a police raid on his home. ",>Sir Cliff v BBC - how did we get here? 
>Sue Faulds,">Having heard his interview with Julie Etchingham, I no longer have any sympathy for  Cliff Richard!",>Sir Cliff v BBC - how did we get here? 
>Ena Yat,>Sell out? What else do you expect from 1 guy? How much 1 person can achieve in a life time? Most of us don't even scratch the surface of what Mandela did for South Africa.,">He's a hero to many, but why do some young South Africans think Nelson Mandela ""sold out""? "
>Henry Przepiorka,>virtue signalling again,>The secret test kits helping people take control of their sexual health. (via 
>BBC News,">Volcano, check. Sunset, check... Read about Princess Eugenie's ""perfect moment"" proposal here: ",>Royal fans can enter a ballot for a chance to experience the Windsor Castle wedding. 
>Hanna Froger,">Wow, there are a lot of haters on here. Many many Congratulations to them and I would love to see them get married.",>Royal fans can enter a ballot for a chance to experience the Windsor Castle wedding. 
>BBC News,>More on this amazing story: ,">""It was a miracle!"""
>Lynn Carter,">They are one of the nicest people in the world. So polite, humble and grateful, always smiling. So happy they are recovered from their terrible ordeal ",">""It was a miracle!"""
>BBC News,>Here's more on the story: ,">""It is not too late to save "
>BBC News,>Here's a profile of Boris Johnson: ,">""It is not too late to save "
>Jennifer Kode,>Miss Universe is rigged. Have you ever noticed that all the winners are from Earth?,">""I've not only won the pageant as Dee-Ann, but as a black woman."""
>Pooja Shah,>Why bring colour into it?,">""I've not only won the pageant as Dee-Ann, but as a black woman."""
>Shawna Massengill,>But in all the years the competition existed none had. So obviously color did have something to do with it. It’s historic because hopefully it means that it’s starting to matter less. That’s a victory.,">""I've not only won the pageant as Dee-Ann, but as a black woman."""
>BBC News,>Here's a profile of Boris Johnson: ,">""It is not too late to save Brexit"""
>John Fyfe,>Anyone still pro Brexit is just like those who refused to believe the Titanic could sink despite all evidence to the contrary as it went down.,">""It is not too late to save Brexit"""
>Jon Bronson,">If they should fine anyone it should be Apple, with their completely locked down devices and planned incompatibility.",">The EU says Google used the Android operating system to illegally ""cement its dominant position"" in internet search."
>Chase Whittaker,">If you buy an Android device, you understand that Google owns the OS. It's not subversive or concealed. You buy Android products because of Google software; it's not forced against your will... Further, it's their product... If they want to put their services in their product, they should be able to do so. Especially if it's at no additional charge and if customers can opt into alternate services with two taps.",">The EU says Google used the Android operating system to illegally ""cement its dominant position"" in internet search."
>Sharmila Atchigadu,">Long walk to freedom! Philanthropist, Political leader, South African anti - aparathied revolutionary. Great Soul!",">""Love comes more naturally to the human heart than its opposite."" "
