commentor,comments,news
>Nikita L Brits,>Yes show the world how beautiful you are. Those who thinks this a joke just remember your mother thought the same about you when you were born.,
>Jerome Smith,>Its ok to feel sick too right. Its natural too,
>Sarah Currington,">I’m sorry, but no... it’s also ‘cultural practice’ to circumcise infants... just because something is seen as being ‘cultural’ doesn’t make it right!",">Cultural practice or ""parents' vanity""?"
>Eric Busboom,>You want them pierced soon so they don't play with them and cause infections. Easier when they're young. I thought this was common knowledge.,">Cultural practice or ""parents' vanity""?"
>BBC News,>Race to the skies... Google co-founder Larry Page is funding the firm developing the BlackFly too. ,>'It's basically just a big drone that a human being can fit in.'
>Jake Collins,">6 mph, so in 20 mins flight it can travel 2 miles. ",>'It's basically just a big drone that a human being can fit in.'
>BBC News,">Earlier this year Peru's state prosecutor ordered the indictment of former president Alberto Fujimori over the scandal, but he has not yet been indicted or charged. ",>This Peruvian woman says she was forcibly sterilised and is fighting for justice for herself and thousands more. (via 
>BBC News,>Denx Lee He's the son of Japanese immigrants. Read more here: ,>This Peruvian woman says she was forcibly sterilised and is fighting for justice for herself and thousands more. (via 
>متوكل المصراتي,>&amp; plz don't give me the 100000000000 years nonsense,>This Peruvian woman says she was forcibly sterilised and is fighting for justice for herself and thousands more. (via 
>Liliana David,>I have an a er with a baby snake I bought in Russia.,>This Peruvian woman says she was forcibly sterilised and is fighting for justice for herself and thousands more. (via 
>BBC News,>You can read more about this story here: ,">""Despite the colour of your skin, you can change the contents of people's hearts."" "
>Kay Hawkins,>Playing the race card again.,">""Despite the colour of your skin, you can change the contents of people's hearts."" "
>BBC News,>Great news - the baby has been found safe and well ,>UPDATE: Great news - the baby girl who was in the back of an Audi that was carjacked in Birmingham has been found safe and well.
>Jayne Murphy,>BABY HAS BEEN FOUND!,>UPDATE: Great news - the baby girl who was in the back of an Audi that was carjacked in Birmingham has been found safe and well.
>Pamela Crowther,">Sorry - I have heavy periods and find tampons and pads at less than £1 in Superdrug and Morrisons.  I also use washable eco pads, cheap on Amazon.  My Mum had three women/girls to buy for, we were not well off, but she budgeted for the essentials.  I feel sorry for girls living with alcoholics and drug users as they may be suffering from neglect.  Other than this I do not buy this period poverty nonsense.",">""I feel ashamed"" - Stevie-Jo Pasing on 'period poverty'. "
>Nicola Kehoe,">Then it should be no problem to provide them free in schools if they are so cheap. Some people, children, do not even have access to small amounts of money. Perhaps, just perhaps, people are not making this problem up and it genuinely affects others who are not you.",">""I feel ashamed"" - Stevie-Jo Pasing on 'period poverty'. "
>Nicola Marion Ramage,">I don't  understand this. With tax credits , rent paid etc these days low income families or families that don't work get as much if not more than others who work. So why can they not afford sanitary products?",">""I feel ashamed"" - Stevie-Jo Pasing on 'period poverty'. "
>Tricia Butler,>Surely clothes could be donated to countries where people need them. If someone is wearing the item it's not damaging the brand .,>To protect the brand... 
>Rachel McNulty,>They would rather burn their stock than have a poor person be seen wearing it. I hope this article tarnishes their brand beyond repair for their elitism.,>To protect the brand... 
>Caleb Jud,">28 million? So that is 3 shirts, a pair of slacks, and a scarf right?",>To protect the brand... 
>Stephanie Williams-Cooke,>Stabbings are about as common in Europe as shootings are in the States. I guess such is human nature....it isn't the weapon thats the problem but our species that is the problem!,>The 25-year-old figure skater was stabbed after thieves tried to take his car mirrors.
>Gwen Char Heliker,">May the hands of the thieves/killers be forever crippled.  As a Tiger Mom, I have absolutely no forgiveness in my heart for something as evil as this.",>The 25-year-old figure skater was stabbed after thieves tried to take his car mirrors.
>Yadanar Mon,>Seriously?,">Striking portrait photos of Rohingya Muslim girls and women wearing traditional makeup, captured by photographer Clodagh Kilcoyn in Cox's Bazar, Bangladesh. There are more pictures from the Reuters photographer here: "
>Kyaw Swar,">Oh! now they know how to wear Thanaka, I never heard or seen that these people know how to wear it. It is clear that BBC is just camping for these people who orginally didnt know  anything about Burmese traditional makeup Thanaka. Stop creating fake culture",">Striking portrait photos of Rohingya Muslim girls and women wearing traditional makeup, captured by photographer Clodagh Kilcoyn in Cox's Bazar, Bangladesh. There are more pictures from the Reuters photographer here: "
>Tristan Waite,">Tories have a lot to answer for. Poverty up, crime up, businesses closing on a daily basis, homelessness up. They have blood on their hands. Not that they care. As long as they have managed to sell off the rest of the UKs assets to themselves and friends, I'm sure they will be very happy.",">Killings and murders in England and Wales are up again, figures show."
